lead_time_days,service_quantile,baseline_cost,model_cost,cost_delta,cost_delta_pct,baseline_service_level,model_service_level,service_delta,model_stockout_units,model_average_inventory,service_floor_met,cost_improved,gate,decision_gate,recommended_policy
5,0.84,253323.72236572462,209549.45672314856,43774.265642576065,0.17279970953284413,0.9088004321893275,0.773138069691742,-0.13566236249758545,44262.12377472296,270.8413468688058,False,True,block,warn,baseline
5,0.9,249856.75779039634,192169.73694919673,57687.020841199614,0.2308803706225668,0.922061959667296,0.803708810159371,-0.11835314950792497,38297.58888504575,324.8281784084477,False,True,block,warn,baseline
5,0.95,254739.9047025956,169681.8624457959,85058.0422567997,0.33390152342289475,0.9377920431136322,0.8502813720361564,-0.08751067107747579,29211.002627513662,440.31543279784375,False,True,block,warn,baseline
5,0.99,283645.78709773655,153102.70929236265,130543.0778053739,0.46023274007024945,0.9731915979311931,0.9444621255947858,-0.028729472336407325,10835.77252370373,914.6634933128978,True,True,allow,pass,model
7,0.84,321360.59195167175,188199.54474520346,133161.0472064683,0.41436644859832067,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
7,0.9,319383.6141379989,174116.8748382767,145266.7392997222,0.45483466549087115,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
7,0.95,329320.51317467494,159597.3347114316,169723.17846324333,0.5153738430293907,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
7,0.99,372195.67631912057,158345.67904811708,213849.9972710035,0.5745633570650308,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
10,0.84,418359.22732787137,213070.7809250263,205288.44640284506,0.49069898066801554,0.9349462524982074,0.8075851803093012,-0.12736107218890624,37541.28581057351,524.2136473561025,False,True,block,warn,baseline
10,0.9,417054.8218845187,204235.2948593116,212819.52702520712,0.5102914913285339,0.9481319111971477,0.830628902743094,-0.1175030084540537,33045.317301405914,600.450213780733,False,True,block,warn,baseline
10,0.95,428751.52932652953,192628.94232386124,236122.5870026683,0.5507212706006269,0.9627760837432466,0.8700376467994412,-0.09273843694380546,25356.43488354823,760.0266899139025,False,True,block,warn,baseline
10,0.99,488641.37827575713,213321.24554372136,275320.13273203577,0.5634400707192323,0.9886943047208251,0.9464437078981874,-0.042250596822637654,10449.153926816227,1429.371915303804,True,True,allow,pass,model
14,0.84,530487.2810925541,211797.97521655075,318689.30587600335,0.6007482502118682,0.9392949856464874,0.8454126890756029,-0.09388229657088454,30160.91188521543,759.6193972974085,False,True,block,warn,baseline
14,0.9,531269.798812822,209023.43149187445,322246.3673209475,0.6065587918625166,0.9518823453921745,0.8629757438755603,-0.08890660151661423,26734.254515414912,850.7201119184568,False,True,block,warn,baseline
14,0.95,547593.8529138077,204297.7593046064,343296.0936092013,0.626917361804711,0.9663548710478578,0.8978227009065389,-0.06853217014131885,19935.40411692879,1037.9678569740938,False,True,block,warn,baseline
14,0.99,619353.4953221038,254001.2719662985,365352.2233558054,0.5898928901108382,0.9950400273477477,0.9569804328134645,-0.0380595945342832,8393.375675496209,1836.8980772026139,True,True,allow,pass,model
