service_quantile,holding_cost,stockout_cost,cost_ratio,baseline_cost,model_cost,cost_delta,cost_delta_pct,baseline_service_level,model_service_level,service_delta,model_stockout_units,model_average_inventory,service_floor_met,cost_improved,gate,decision_gate,recommended_policy
0.84,0.02,2.0,100.0,160680.29597583588,94099.77237260173,66580.52360323415,0.41436644859832067,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.02,4.0,200.0,190523.43537731882,166501.10738081837,24022.327996500448,0.12608594816131594,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.02,8.0,400.0,250209.71418028473,311303.77739725175,-61094.06321696701,-0.24417142802435973,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,False,block,warn,baseline
0.84,0.04,2.0,50.0,291517.4525501889,115798.20973698676,175719.24281320212,0.6027743494463665,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.04,4.0,100.0,321360.59195167175,188199.54474520346,133161.0472064683,0.41436644859832067,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.04,8.0,200.0,381046.87075463764,333002.21476163674,48044.655993000895,0.12608594816131594,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.08,2.0,25.0,553191.7656988947,159195.0844657569,393996.68123313785,0.7122244141421157,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.08,4.0,50.0,583034.9051003777,231596.4194739735,351438.48562640423,0.6027743494463665,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.84,0.08,8.0,100.0,642721.1839033435,376399.0894904069,266322.0944129366,0.41436644859832067,0.9235207031011786,0.814456410853032,-0.10906429224814662,36200.667504108336,361.6406227397509,False,True,block,warn,baseline
0.9,0.02,2.0,100.0,159691.80706899945,87058.43741913835,72633.3696498611,0.45483466549087115,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.02,4.0,200.0,184671.05763230522,148602.41369894156,36068.643933363666,0.19531292231606323,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.02,8.0,400.0,234629.5587589168,271690.36625854793,-37060.80749963113,-0.1579545548125559,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,False,block,warn,baseline
0.9,0.04,2.0,50.0,294404.3635746932,112572.8985584735,181831.4650162197,0.617624897975017,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.04,4.0,100.0,319383.6141379989,174116.8748382767,145266.7392997222,0.45483466549087115,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.04,8.0,200.0,369342.11526461045,297204.8273978831,72137.28786672733,0.19531292231606323,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.08,2.0,25.0,563829.4765860805,163601.8208371438,400227.6557489367,0.7098381201569434,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.08,4.0,50.0,588808.7271493864,225145.797116947,363662.9300324394,0.617624897975017,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.9,0.08,8.0,100.0,638767.2282759978,348233.7496765534,290533.4785994444,0.45483466549087115,0.9359854372410233,0.8422806672275501,-0.09370477001347322,30771.9881399016,425.2410189889192,False,True,block,warn,baseline
0.95,0.02,2.0,100.0,164660.25658733747,79798.6673557158,84861.58923162166,0.5153738430293907,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.02,4.0,200.0,184517.49140236765,125879.03870431712,58638.45269805053,0.3177934636569534,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.02,8.0,400.0,224231.96103242805,218039.78140151975,6192.1796309083,0.027615062555746892,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.04,2.0,50.0,309463.27835964476,113516.96336283028,195946.31499681447,0.6331811516877107,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.04,4.0,100.0,329320.51317467494,159597.3347114316,169723.17846324333,0.5153738430293907,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.04,8.0,200.0,369034.9828047353,251758.07740863424,117276.90539610106,0.3177934636569534,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.08,2.0,25.0,599069.3219042593,180953.55537705927,418115.7665272,0.6979422100903733,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.08,4.0,50.0,618926.5567192895,227033.92672566057,391892.62999362894,0.6331811516877107,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.95,0.08,8.0,100.0,658641.0263493499,319194.6694228632,339446.35692648665,0.5153738430293907,0.9491116756659709,0.8819093945122105,-0.06720228115376037,23040.185674300657,561.9716001185747,False,True,block,warn,baseline
0.99,0.02,2.0,100.0,186097.83815956028,79172.83952405854,106924.99863550175,0.5745633570650308,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.02,4.0,200.0,194017.94487029946,91070.23401828286,102947.7108520166,0.5306092223625856,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.02,8.0,400.0,209858.15829177777,114865.02300673153,94993.13528504624,0.45265400239037584,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.04,2.0,50.0,364275.56960838137,146448.28455389274,217827.28505448863,0.5979739055481167,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.04,4.0,100.0,372195.67631912057,158345.67904811708,213849.9972710035,0.5745633570650308,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.04,8.0,200.0,388035.8897405989,182140.46803656573,205895.4217040332,0.5306092223625856,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
0.99,0.08,2.0,25.0,720631.0325060235,280999.17461356113,439631.8578924624,0.6100651207922935,0.9797030672794809,0.9695104340865367,-0.010192633192944167,5948.697247112166,1121.2574171639033,True,True,allow,pass,model
